encode_id	accession	replication	sample	target	assembly
/experiments/ENCSR000AHD/	ENCSR000AHD	isogenic	MCF-7	CTCF	hg38
/experiments/ENCSR000AHF/	ENCSR000AHF	isogenic	MCF-7	TAF1	hg38
/experiments/ENCSR000AKA/	ENCSR000AKA	isogenic	GM12878	H3K4me3	hg38
/experiments/ENCSR000AKB/	ENCSR000AKB	isogenic	GM12878	CTCF	hg38
/experiments/ENCSR000AKC/	ENCSR000AKC	isogenic	GM12878	H3K27ac	hg38
/experiments/ENCSR000AKD/	ENCSR000AKD	isogenic	GM12878	H3K27me3	hg38
/experiments/ENCSR000AKF/	ENCSR000AKF	isogenic	GM12878	H3K4me1	hg38
/experiments/ENCSR000AKG/	ENCSR000AKG	isogenic	GM12878	H3K4me2	hg38
/experiments/ENCSR000AKH/	ENCSR000AKH	isogenic	GM12878	H3K9ac	hg38
/experiments/ENCSR000AKI/	ENCSR000AKI	isogenic	GM12878	H4K20me1	hg38
/experiments/ENCSR000AKK/	ENCSR000AKK	isogenic	endothelial_cell_of_umbilical_vein	H3K27me3	hg38
/experiments/ENCSR000AKM/	ENCSR000AKM	isogenic	endothelial_cell_of_umbilical_vein	H3K4me2	hg38
/experiments/ENCSR000AKN/	ENCSR000AKN	isogenic	endothelial_cell_of_umbilical_vein	H3K4me3	hg38
/experiments/ENCSR000AKO/	ENCSR000AKO	isogenic	K562	CTCF	hg38
/experiments/ENCSR000AKP/	ENCSR000AKP	isogenic	K562	H3K27ac	hg38
/experiments/ENCSR000AKQ/	ENCSR000AKQ	isogenic	K562	H3K27me3	hg38
/experiments/ENCSR000AKR/	ENCSR000AKR	isogenic	K562	H3K36me3	hg38
/experiments/ENCSR000AKS/	ENCSR000AKS	isogenic	K562	H3K4me1	hg38
/experiments/ENCSR000AKT/	ENCSR000AKT	isogenic	K562	H3K4me2	hg38
/experiments/ENCSR000AKU/	ENCSR000AKU	isogenic	K562	H3K4me3	hg38
/experiments/ENCSR000AKV/	ENCSR000AKV	isogenic	K562	H3K9ac	hg38
/experiments/ENCSR000AKX/	ENCSR000AKX	isogenic	K562	H4K20me1	hg38
/experiments/ENCSR000ALB/	ENCSR000ALB	isogenic	endothelial_cell_of_umbilical_vein	H3K27ac	hg38
/experiments/ENCSR000ALK/	ENCSR000ALK	isogenic	keratinocyte	H3K27ac	hg38
/experiments/ENCSR000ALO/	ENCSR000ALO	isogenic	keratinocyte	H3K4me3	hg38
/experiments/ENCSR000ALU/	ENCSR000ALU	isogenic	H1	H3K27me3	hg38
/experiments/ENCSR000ALV/	ENCSR000ALV	isogenic	mammary_epithelial_cell	CTCF	hg38
