geneID	symbol	chromosome	start_pos	end_pos	orientation	description	TSS	aliases
115487594	Gm26206	chr1	3102016.0	3102125.0	plus		3102016	
497097	Xkr4	chr1	3199733.0	3671948.0	minus	X-linked Kx blood group related 4	3671948	AY534250, Gm210, mKIAA1889, XRG4
100418032	Gm18956	chr1	3252734.0	3253236.0	plus	predicted gene, 18956	3252734	
664792	Gm7341	chr1	3531795.0	3532736.0	plus	predicted gene 7341	3531795	EG664792
115487633	Gm27396	chr1	3783876.0	3783933.0	minus		3783933	
19888	Rp1	chr1	4115673.0	4409266.0	minus	retinitis pigmentosa 1 (human)	4409266	Dcdc3, Gm38717, mG145, Orp1, Rp1h
619785	Gm6101	chr1	4256035.0	4260514.0	minus	predicted gene 6101	4260514	EG619785
20671	Sox17	chr1	4490928.0	4497426.0	minus	SRY (sex determining region Y)-box 17	4497426	
664830	Gm7357	chr1	4522817.0	4526931.0	plus	predicted gene 7357	4522817	EG664830
115487712	Gm22307	chr1	4529017.0	4529123.0	plus		4529017	
108167609	Gm37323	chr1	4547146.0	4609003.0	minus		4609003	
664853	Gm7369	chr1	4610244.0	4611629.0	plus		4610244	
619596	Gm6085	chr1	4688569.0	4689409.0	minus	predicted gene 6085	4689409	EG619596
619980	Gm6119	chr1	4692061.0	4693624.0	minus	predicted gene 6119	4693624	EG619980
100039121	Gm2053	chr1	4735050.0	4735679.0	minus	predicted gene 2053	4735679	100039121
620009	Gm6123	chr1	4771105.0	4772393.0	plus	predicted gene 6123	4771105	EG620009, Gm1831
27395	Mrpl15	chr1	4773198.0	4785750.0	minus	mitochondrial ribosomal protein L15	4785750	HSPC145, MRP-L7, Rpml7
18777	Lypla1	chr1	4807823.0	4846735.0	plus	lysophospholipase 1	4807823	APT-1, Gm39587, LPL-I, Pla1a
21399	Tcea1	chr1	4857694.0	4897909.0	plus	transcription elongation factor A (SII) 1	4857694	S-II
619829	Gm6104	chr1	4879202.0	4880747.0	minus	predicted gene 6104	4880747	EG619829
58175	Rgs20	chr1	4909573.0	5070299.0	minus	regulator of G-protein signaling 20	5070299	2900073E09Rik, Rgsz1
102631647	Gm16041	chr1	4970857.0	4977253.0	plus		4970857	
100417473	Gm17101	chr1	5063061.0	5064658.0	plus	predicted gene 17101	5063061	Hspd1-17p
108664	Atp6v1h	chr1	5082978.0	5163213.0	plus	ATPase, H+ transporting, lysosomal V1 subunit H	5082978	0710001F19Rik, AU022349, CGI-11, SFD, SFDalpha, SFDbeta, VMA13
636659	Gm7182	chr1	5276110.0	5276798.0	minus	predicted gene 7182	5276798	EG636659
18387	Oprk1	chr1	5588450.0	5606134.0	plus	opioid receptor, kappa 1	5588450	K-OR-1, KOR, KOR-1, MSL-1, Oprk2, R21
226304	Npbwr1	chr1	5913707.0	5917398.0	minus	neuropeptides B/W receptor 1	5917398	Gpr7, Nbpwr1
100418441	Gm19214	chr1	6048972.0	6050045.0	minus	predicted gene, 19214	6050045	
654788	4732440D04Rik	chr1	6209866.0	6216612.0	minus		6216612	
12421	Rb1cc1	chr1	6214634.0	6276375.0	plus	RB1-inducible coiled-coil 1	6214634	2900055E04Rik, 5930404L04Rik, Cc1, FIP200, LaXp180
620393	Alkal1	chr1	6359331.0	6394731.0	plus	ALK and LTK ligand 1	6359331	EG620393, Fam150a
102631893	Gm7417	chr1	6379404.0	6383206.0	minus	predicted gene 7417	6383206	EG664946
100039302	Gm2147	chr1	6380274.0	6382392.0	plus	predicted gene 2147	6380274	100039302
100418138	Gm19026	chr1	6429658.0	6441296.0	minus	predicted gene, 19026	6441296	
240690	St18	chr1	6487231.0	6860940.0	plus	suppression of tumorigenicity 18	6487231	AV348974, mKIAA0535, Myt3, NZF-3, Nzf3
665015	Gm7449	chr1	6910464.0	6911239.0	plus	predicted gene 7449	6910464	EG665015
102641523	Gm37108	chr1	6916526.0	6923642.0	plus		6916526	
435608	Gm5694	chr1	7035881.0	7037223.0	plus	predicted gene 5694	7035881	EG435608
319263	Pcmtd1	chr1	7087077.0	7173628.0	plus	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	7087077	8430411F12Rik, A030012M09Rik
108167612	Gm26983	chr1	7136195.0	7136811.0	minus		7136811	
545302	Gm9826	chr1	7177675.0	7179753.0	plus	predicted gene 9826	7177675	EG545302
18178	Nras-ps2	chr1	7188158.0	7190142.0	minus	neuroblastoma ras oncogene, pseudogene 2	7190142	
115485783	Gm23274	chr1	7265803.0	7265932.0	plus		7265803	
102632124	Gm26901	chr1	7314637.0	7398096.0	minus		7398096	
